name,leg_id,party,slug,division_number,first_name,last_name,cms_id,chamber
Aliseda,A2055,Republican,jose-aliseda,35,Jose,Aliseda,1100,H
Allen,A2100,Democratic,alma-allen,131,Alma,Allen,10,H
Alonzo,A2125,Democratic,roberto-alonzo,104,Roberto,Alonzo,11,H
Alvarado,A2135,Democratic,carol-alvarado,145,Carol,Alvarado,206,H
Anchia,A2150,Democratic,rafael-anchia,103,Rafael,Anchia,157,H
"Anderson, Charles ""Doc""",A2155,Republican,charles-doc-anderson,56,Charles,Anderson,133,H
"Anderson, Rodney",A2215,Republican,rodney-anderson,106,Rodney,Anderson,3897,H
Aycock,A2145,Republican,jimmie-don-aycock,54,Jimmie Don,Aycock,173,H
Beck,A2085,Republican,marva-beck,57,Marva,Beck,3783,H
Berman,A2205,Republican,leo-berman,6,Leo,Berman,94,H
Bohac,A2230,Republican,dwayne-bohac,138,Dwayne,Bohac,85,H
Bonnen,A2250,Republican,dennis-bonnen,25,Dennis,Bonnen,84,H
Branch,A2280,Republican,dan-branch,108,Dan,Branch,201,H
Brown,A2270,Republican,fred-brown,14,Fred,Brown,99,H
Burkett,A2195,Republican,cindy-burkett,101,Cindy,Burkett,3692,H
Burnam,A2255,Democratic,lon-burnam,90,Lon,Burnam,13,H
Button,A2510,Republican,angie-chen-button,112,Angie Chen,Button,196,H
Cain,A2015,Republican,erwin-cain,3,Erwin,Cain,3677,H
Callegari,A2295,Republican,bill-callegari,132,Bill,Callegari,116,H
Carter,A2210,Republican,stefani-carter,102,Stefani,Carter,3896,H
Castro,A2495,Democratic,joaquin-castro,125,Joaquin,Castro,131,H
Chisum,A2480,Republican,warren-chisum,88,Warren,Chisum,20,H
Christian,A2525,Republican,wayne-christian,9,Wayne,Christian,80,H
Coleman,A2435,Democratic,garnet-coleman,147,Garnet,Coleman,22,H
Cook,A2450,Republican,byron-cook,8,Byron,Cook,142,H
Craddick,A2610,Republican,tom-craddick,82,Tom,Craddick,24,H
Creighton,A2615,Republican,brandon-creighton,16,Brandon,Creighton,178,H
Crownover,A2640,Republican,myra-crownover,64,Myra,Crownover,101,H
Darby,A2645,Republican,drew-darby,72,Drew,Darby,138,H
"Davis, John",A2620,Republican,john-davis,129,John,Davis,187,H
"Davis, Sarah",A2305,Republican,sarah-davis,134,Sarah,Davis,3908,H
"Davis, Yvonne",A2625,Democratic,yvonne-davis,111,Yvonne,Davis,14,H
Deshotel,A2690,Democratic,joe-deshotel,22,Joe,Deshotel,106,H
Driver,A2705,Republican,joe-driver,113,Joe,Driver,17,H
Dukes,A2665,Democratic,dawnna-dukes,46,Dawnna,Dukes,67,H
Dutton,A2650,Democratic,harold-dutton-jr,142,Harold,Dutton,57,H
Eiland,A2775,Democratic,craig-eiland,23,Craig,Eiland,66,H
Eissler,A2780,Republican,rob-eissler,15,Rob,Eissler,134,H
Elkins,A2785,Republican,gary-elkins,135,Gary,Elkins,72,H
Farias,A2820,Democratic,joe-farias,118,Joe,Farias,181,H
Farrar,A2810,Democratic,jessica-farrar,148,Jessica,Farrar,68,H
Fletcher,A2830,Republican,allen-fletcher,130,Allen,Fletcher,198,H
Flynn,A2850,Republican,dan-flynn,2,Dan,Flynn,89,H
